epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.487,2.06357,4.06996,1.50755,0.01529,0.49979,0.10194,0.06764,1.8291,4.08517,1.20314,0.00010829,0.00010829,0.00010829
2,181.664,1.92146,3.07404,1.30838,0.01518,0.58302,0.12933,0.0794,1.92092,3.7869,1.24113,0.000220457,0.000220457,0.000220457
3,278.354,1.73033,2.37549,1.18707,0.82299,0.11364,0.20311,0.1209,1.88661,3.19573,1.21386,0.000328005,0.000328005,0.000328005
4,365.194,1.67251,1.91177,1.18754,0.80768,0.08899,0.229,0.13905,1.8548,2.8553,1.27014,0.000430936,0.000430936,0.000430936
5,459.057,1.52388,1.68118,1.1495,0.70081,0.18568,0.26774,0.15592,1.96675,2.55117,1.34922,0.000529248,0.000529248,0.000529248
6,554.178,1.49519,1.63341,1.12245,0.60104,0.26081,0.26089,0.1443,1.93403,2.41068,1.35167,0.000622942,0.000622942,0.000622942
7,645.947,1.40696,1.45338,1.08537,0.39859,0.30656,0.24511,0.13518,2.04984,2.33163,1.37391,0.000712018,0.000712018,0.000712018
8,748.248,1.32847,1.30417,1.05699,0.78374,0.20267,0.2742,0.1458,1.96899,2.24078,1.38658,0.000717546,0.000717546,0.000717546
9,839.481,1.29494,1.2912,1.01946,0.59298,0.29693,0.30982,0.16416,1.974,2.06302,1.348,0.000701053,0.000701053,0.000701053
10,944.272,1.21935,1.3014,1.00677,0.46281,0.32438,0.37166,0.21403,1.92901,2.05596,1.33158,0.000684559,0.000684559,0.000684559
11,1056.92,1.11964,1.18733,0.97921,0.50106,0.34874,0.36879,0.21853,1.87347,1.93157,1.27688,0.000668066,0.000668066,0.000668066
12,1178.33,1.02442,1.12235,0.94578,0.51555,0.33099,0.33049,0.19336,1.89989,1.9264,1.33829,0.000651573,0.000651573,0.000651573
13,1256.56,1.03202,1.06385,0.95233,0.39271,0.34374,0.30494,0.17047,1.89411,2.00221,1.32119,0.000635079,0.000635079,0.000635079
14,1335.34,0.94805,0.99525,0.91852,0.58562,0.27323,0.3209,0.19701,1.89533,1.8806,1.31143,0.000618586,0.000618586,0.000618586
15,1417.77,0.95343,0.99876,0.91134,0.55814,0.27037,0.31381,0.1912,1.88082,1.95425,1.3,0.000602092,0.000602092,0.000602092
16,1507.65,0.87908,0.90328,0.89333,0.54729,0.33909,0.37886,0.22667,1.91851,1.87249,1.29962,0.000585599,0.000585599,0.000585599
17,1598.24,0.85187,0.86416,0.89112,0.5499,0.36476,0.38886,0.23643,1.88887,1.80786,1.32246,0.000569106,0.000569106,0.000569106
18,1688.73,0.82343,0.86289,0.88155,0.64399,0.36477,0.41801,0.24719,1.88284,1.82249,1.28323,0.000552612,0.000552612,0.000552612
19,1785.23,0.78564,0.8179,0.86826,0.57966,0.42447,0.41365,0.24457,1.87891,1.75926,1.31806,0.000536119,0.000536119,0.000536119
20,1879.56,0.79302,0.80821,0.87927,0.54913,0.38831,0.41756,0.24814,1.88753,1.78271,1.29479,0.000519625,0.000519625,0.000519625
21,1973.87,0.7778,0.77001,0.86974,0.51902,0.41043,0.40771,0.25351,1.85454,1.79147,1.28154,0.000503132,0.000503132,0.000503132
22,2066.84,0.71318,0.80779,0.85549,0.49054,0.39551,0.40267,0.2364,1.83724,1.71498,1.29309,0.000486639,0.000486639,0.000486639
23,2158.98,0.6728,0.71808,0.84446,0.69586,0.34575,0.41298,0.24104,1.84586,1.66514,1.30074,0.000470145,0.000470145,0.000470145
24,2253.23,0.66508,0.76244,0.85387,0.39911,0.38709,0.40223,0.23614,1.87562,1.69584,1.30306,0.000453652,0.000453652,0.000453652
25,2345.4,0.63185,0.73098,0.83535,0.62962,0.40112,0.4344,0.2633,1.8722,1.71474,1.30066,0.000437158,0.000437158,0.000437158
26,2439.2,0.57034,0.63213,0.8257,0.74663,0.36094,0.43444,0.25977,1.86995,1.66568,1.30364,0.000420665,0.000420665,0.000420665
27,2531.9,0.60179,0.64005,0.84208,0.58383,0.38064,0.43687,0.26553,1.86668,1.68184,1.29722,0.000404172,0.000404172,0.000404172
28,2623.8,0.56655,0.61638,0.82967,0.48902,0.39931,0.41406,0.24619,1.85845,1.66342,1.29534,0.000387678,0.000387678,0.000387678
29,2714.17,0.52185,0.59377,0.81803,0.56396,0.37685,0.4005,0.23651,1.858,1.64914,1.32034,0.000371185,0.000371185,0.000371185
30,2806.12,0.49179,0.56632,0.81379,0.66718,0.36508,0.40395,0.24285,1.88096,1.67682,1.32522,0.000354691,0.000354691,0.000354691
31,2893.41,0.49323,0.66823,0.81705,0.69429,0.36306,0.39144,0.23255,1.89663,1.67684,1.32452,0.000338198,0.000338198,0.000338198
32,2981.39,0.50171,0.59893,0.81761,0.65846,0.36383,0.40152,0.2336,1.86763,1.66226,1.31553,0.000321705,0.000321705,0.000321705
33,3068.74,0.46183,0.53974,0.81029,0.63828,0.36544,0.4209,0.2546,1.86695,1.67776,1.31213,0.000305211,0.000305211,0.000305211
34,3156.42,0.43316,0.56291,0.80517,0.59004,0.39773,0.39932,0.23407,1.8925,1.69496,1.33293,0.000288718,0.000288718,0.000288718
35,3243.45,0.46643,0.53765,0.80511,0.63534,0.39398,0.40595,0.23855,1.87446,1.68473,1.30554,0.000272224,0.000272224,0.000272224
36,3330.27,0.43846,0.6207,0.81496,0.62389,0.38646,0.41747,0.24713,1.88371,1.7162,1.33009,0.000255731,0.000255731,0.000255731
37,3422.61,0.42825,0.57949,0.80528,0.57172,0.3859,0.42625,0.25505,1.87995,1.71384,1.31729,0.000239238,0.000239238,0.000239238
38,3503.61,0.4519,0.56631,0.80408,0.54433,0.37222,0.41692,0.24958,1.89996,1.73728,1.33766,0.000222744,0.000222744,0.000222744
39,3583.49,0.40906,0.4973,0.80035,0.55067,0.37371,0.42945,0.24421,1.88221,1.74082,1.32708,0.000206251,0.000206251,0.000206251
40,3664.49,0.39311,0.47421,0.80003,0.54418,0.36232,0.3858,0.23665,1.87334,1.74758,1.33411,0.000189757,0.000189757,0.000189757
41,3748.62,0.37533,0.50599,0.80102,0.50795,0.38226,0.39837,0.23981,1.8732,1.72291,1.34036,0.000173264,0.000173264,0.000173264
42,3834.81,0.37595,0.57328,0.79949,0.6054,0.38632,0.40018,0.24358,1.88047,1.69942,1.33793,0.000156771,0.000156771,0.000156771
43,3920.31,0.3558,0.46278,0.80013,0.60496,0.38528,0.4064,0.24537,1.88166,1.72497,1.344,0.000140277,0.000140277,0.000140277
44,4004.77,0.36196,0.4522,0.79471,0.63127,0.37584,0.39928,0.23803,1.87549,1.72252,1.34027,0.000123784,0.000123784,0.000123784
45,4090.47,0.34436,0.45643,0.79544,0.64313,0.38012,0.40501,0.23997,1.86582,1.72572,1.33496,0.00010729,0.00010729,0.00010729
46,4173.72,0.32094,0.43203,0.79841,0.61945,0.37454,0.3956,0.23591,1.86474,1.72049,1.33404,9.0797e-05,9.0797e-05,9.0797e-05
47,4253.52,0.32128,0.43177,0.79381,0.62229,0.3681,0.39546,0.23337,1.86751,1.71159,1.33262,7.43036e-05,7.43036e-05,7.43036e-05
48,4333.33,0.33189,0.43382,0.79371,0.60848,0.37749,0.39748,0.23357,1.86717,1.70901,1.32976,5.78102e-05,5.78102e-05,5.78102e-05
49,4414.15,0.29522,0.45509,0.79226,0.61846,0.37676,0.39949,0.23291,1.8652,1.71047,1.32918,4.13168e-05,4.13168e-05,4.13168e-05
50,4494.59,0.3374,0.42232,0.79515,0.61544,0.3783,0.40694,0.23436,1.86682,1.70684,1.33252,2.48234e-05,2.48234e-05,2.48234e-05
