epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,200.294,1.98066,4.55698,0.01028,0.01394,0.52566,0.07243,0.04672,1.91204,5.11568,0.00789,0.000270725,0.000270725,0.000270725
2,466.738,1.98549,3.41753,0.00929,0.72895,0.06606,0.13727,0.08333,1.878,4.27423,0.00798,0.000542963,0.000542963,0.000542963
3,746.606,1.92863,3.03817,0.00884,0.51334,0.12524,0.14479,0.06715,1.9408,3.54606,0.00909,0.000809702,0.000809702,0.000809702
4,927.946,1.91575,2.78801,0.00865,0.56638,0.19679,0.21483,0.11523,1.96271,3.26427,0.00979,0.00080826,0.00080826,0.00080826
5,1099.92,1.93408,2.70296,0.00897,0.45806,0.30165,0.25738,0.1544,1.97682,3.25603,0.00917,0.000800013,0.000800013,0.000800013
6,1276.87,1.87038,2.41267,0.00827,0.42924,0.30092,0.31603,0.17847,1.97932,2.93468,0.00962,0.000791767,0.000791767,0.000791767
7,1453.5,1.81644,2.30199,0.00835,0.55078,0.33528,0.37272,0.21859,1.92333,2.73479,0.00915,0.00078352,0.00078352,0.00078352
8,1639.18,1.76042,2.26524,0.00842,0.55635,0.3621,0.39661,0.2395,1.90605,2.57377,0.00922,0.000775273,0.000775273,0.000775273
9,1819.94,1.86904,2.17369,0.00864,0.41871,0.43336,0.36368,0.21993,1.94834,2.55973,0.00947,0.000767026,0.000767026,0.000767026
10,2032.55,1.82164,2.06754,0.00812,0.28873,0.38413,0.36756,0.20959,1.91077,2.4636,0.00882,0.00075878,0.00075878,0.00075878
11,2305.04,1.79615,2.01539,0.00814,0.50413,0.41299,0.42543,0.2465,1.91099,2.42153,0.00935,0.000750533,0.000750533,0.000750533
12,2502.01,1.79759,1.91777,0.00779,0.53432,0.35544,0.41573,0.24815,1.93827,2.23898,0.00962,0.000742286,0.000742286,0.000742286
13,2777.7,1.7829,1.82907,0.00775,0.4357,0.34977,0.33569,0.18041,2.03944,2.39169,0.00972,0.00073404,0.00073404,0.00073404
14,3124.41,1.8149,1.84744,0.00783,0.46225,0.44957,0.42122,0.2296,1.93309,2.16709,0.00948,0.000725793,0.000725793,0.000725793
15,3600.33,1.73456,1.73868,0.0077,0.46975,0.38085,0.4244,0.25234,1.91641,2.16649,0.00917,0.000717546,0.000717546,0.000717546
16,4057.56,1.76389,1.70789,0.00775,0.44263,0.43168,0.39973,0.23737,1.92472,2.13108,0.00933,0.000709299,0.000709299,0.000709299
17,4497.18,1.73275,1.70249,0.00853,0.49848,0.45567,0.45947,0.2587,1.98636,2.17079,0.00964,0.000701053,0.000701053,0.000701053
18,287.969,1.70548,1.67953,0.0087,0.60643,0.39479,0.45742,0.26667,1.93703,2.00028,0.00937,0.000692806,0.000692806,0.000692806
19,525.769,1.7451,1.61047,0.00784,0.5039,0.51374,0.51196,0.29197,1.99371,1.93056,0.00966,0.000684559,0.000684559,0.000684559
20,857.345,1.77675,1.57611,0.00797,0.56098,0.43843,0.43571,0.2496,1.96491,1.98328,0.00939,0.000676313,0.000676313,0.000676313
21,1195.61,1.73356,1.54896,0.00768,0.60635,0.49034,0.48996,0.29528,1.90301,1.94453,0.00918,0.000668066,0.000668066,0.000668066
22,1532.49,1.72494,1.49486,0.00777,0.66765,0.37176,0.479,0.25199,1.94501,1.93354,0.00968,0.000659819,0.000659819,0.000659819
23,1872.11,1.65893,1.39281,0.00699,0.57869,0.40864,0.47574,0.29153,1.95043,1.76395,0.00968,0.000651573,0.000651573,0.000651573
24,2133.76,1.64393,1.39142,0.00713,0.65077,0.38676,0.5209,0.27053,1.96606,1.81327,0.01012,0.000643326,0.000643326,0.000643326
25,2427.48,1.58905,1.37117,0.00714,0.5609,0.40513,0.4838,0.28541,1.96938,1.79877,0.00964,0.000635079,0.000635079,0.000635079
26,2636.46,1.68869,1.35952,0.00733,0.71139,0.44177,0.49835,0.28923,1.93525,1.78958,0.00963,0.000626832,0.000626832,0.000626832
27,2869.18,1.66678,1.33338,0.00712,0.60813,0.468,0.49588,0.26509,1.94528,1.74421,0.00945,0.000618586,0.000618586,0.000618586
28,3174.7,1.63848,1.31819,0.00697,0.56448,0.42597,0.47415,0.27998,1.92754,1.83088,0.00925,0.000610339,0.000610339,0.000610339
29,3548.98,1.66339,1.28412,0.00686,0.55326,0.4925,0.51217,0.30467,1.91942,1.74449,0.00954,0.000602092,0.000602092,0.000602092
30,4082.91,1.63291,1.24931,0.00674,0.57424,0.41917,0.48498,0.28991,1.95341,1.74207,0.0095,0.000593846,0.000593846,0.000593846
31,4601.95,1.66383,1.28953,0.00674,0.57221,0.45806,0.49391,0.29332,1.94104,1.7431,0.00944,0.000585599,0.000585599,0.000585599
32,4994.61,1.58066,1.22374,0.00654,0.55811,0.46111,0.49403,0.29803,1.93173,1.74601,0.00952,0.000577352,0.000577352,0.000577352
33,5215.06,1.60326,1.22956,0.00659,0.64176,0.44893,0.50249,0.29705,1.94921,1.71668,0.00957,0.000569106,0.000569106,0.000569106
34,5449.11,1.59155,1.224,0.00745,0.70802,0.42881,0.49425,0.28629,1.97392,1.72311,0.00965,0.000560859,0.000560859,0.000560859
35,5650.91,1.65381,1.26914,0.00743,0.49809,0.47539,0.46254,0.26066,1.97611,1.74003,0.00972,0.000552612,0.000552612,0.000552612
36,5942.45,1.64405,1.2385,0.00689,0.55683,0.45075,0.47477,0.28102,1.93499,1.7067,0.00983,0.000544365,0.000544365,0.000544365
37,6275.08,1.63893,1.23179,0.00682,0.60485,0.44957,0.47524,0.28585,1.9211,1.71162,0.00945,0.000536119,0.000536119,0.000536119
38,6596.52,1.59317,1.19882,0.00711,0.49366,0.52097,0.50504,0.29822,1.92884,1.70193,0.00943,0.000527872,0.000527872,0.000527872
39,6916.69,1.62912,1.22098,0.00674,0.61056,0.41811,0.48343,0.28698,1.96168,1.73566,0.00969,0.000519625,0.000519625,0.000519625
40,7239.36,1.64725,1.18728,0.00666,0.62799,0.39897,0.50459,0.28818,2.02913,1.74771,0.01004,0.000511379,0.000511379,0.000511379
